"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23"
"01","01","CANADA",35151728.00,23376530.00,5935635.00,23757525.00,4144690.00,6216070.00,648975.00,3877620.00,4680380.00,3807845.00,3206180.00,2827045.00,2179775.00,1655070.00,1271850.00,966885.00,749290.00,2266595.00,7576395.00,5239575.00,15827040.00
"10","10","Newfoundland and Labrador",519716.00,344245.00,101030.00,488800.00,120.00,25940.00,820.00,54185.00,80625.00,66445.00,50805.00,40705.00,28815.00,22175.00,16590.00,14525.00,11570.00,35890.00,109480.00,102665.00,225785.00
"11","11","Prince Edward Island",142907.00,92510.00,27710.00,121815.00,115.00,17835.00,1250.00,14190.00,20695.00,18775.00,16830.00,13650.00,9360.00,6135.00,4580.00,3005.00,1730.00,4530.00,31810.00,22425.00,62815.00
"12","12","Nova Scotia",923598.00,605950.00,183820.00,813480.00,705.00,95380.00,2735.00,104125.00,134355.00,114855.00,98325.00,79440.00,57255.00,41720.00,33190.00,25505.00,15530.00,39965.00,195905.00,153705.00,425140.00
"13","13","New Brunswick",747101.00,487820.00,148785.00,420820.00,63140.00,249950.00,2370.00,80700.00,109010.00,99025.00,83770.00,65790.00,44815.00,32185.00,24565.00,17095.00,10240.00,27510.00,176750.00,136745.00,306900.00
"24","24","Quebec",8164361.00,5335910.00,1495190.00,372450.00,4032640.00,3586405.00,75065.00,789595.00,1188135.00,976210.00,852735.00,747995.00,540265.00,375935.00,286025.00,189350.00,122750.00,348620.00,1426985.00,1323065.00,3884235.00
"35","35","Ontario",13448494.00,8988870.00,2251655.00,11455495.00,40045.00,1490395.00,326935.00,1615790.00,1829355.00,1410765.00,1147510.00,1021880.00,809120.00,630635.00,479890.00,378190.00,324805.00,909000.00,3026095.00,1935360.00,6076985.00
"46","46","Manitoba",1278365.00,835575.00,198965.00,1135395.00,1485.00,108455.00,16285.00,137695.00,150315.00,136510.00,123685.00,109710.00,80630.00,58785.00,43360.00,34005.00,21985.00,57355.00,296360.00,220390.00,484560.00
"47","47","Saskatchewan",1098352.00,712245.00,170425.00,1023400.00,530.00,51360.00,7945.00,105780.00,118380.00,107895.00,95605.00,89285.00,70395.00,53850.00,41930.00,34310.00,26165.00,79025.00,261210.00,177210.00,418880.00
"48","48","Alberta",4067175.00,2787800.00,500220.00,3698765.00,3895.00,264715.00,59280.00,389580.00,385235.00,364915.00,305675.00,286615.00,247835.00,205845.00,165640.00,132720.00,114015.00,455410.00,895880.00,540665.00,1769500.00
"59","59","British Columbia",4648055.00,3107680.00,848985.00,4127770.00,1805.00,314925.00,153910.00,573315.00,653910.00,503285.00,424330.00,366220.00,286315.00,222975.00,171625.00,134085.00,96825.00,294475.00,1138565.00,601640.00,2130175.00
"60","60","Yukon Territory",35874.00,25335.00,4255.00,30425.00,85.00,4900.00,140.00,2875.00,3350.00,3450.00,2815.00,2540.00,2340.00,2370.00,2100.00,1730.00,1345.00,3065.00,6830.00,4715.00,17335.00
"61","61","Northwest Territories",41786.00,29690.00,3220.00,36845.00,65.00,4275.00,195.00,4455.00,3660.00,3100.00,2290.00,2025.00,1835.00,1730.00,1625.00,1560.00,1495.00,7520.00,6920.00,8860.00,16550.00
"62","62","Nunavut",35944.00,22895.00,1365.00,32065.00,60.00,1525.00,2045.00,5325.00,3345.00,2610.00,1810.00,1190.00,810.00,735.00,730.00,820.00,835.00,4230.00,3615.00,12135.00,8175.00
